Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Double O steal your hoe,RCG Powerline,"ondra kasan, ondřej čejka","benjamin bachler, nelson dziruni",15,11,Bracket play round of 9th place game 1,ets-vienna-2023,Open Gold
Double O steal your hoe,RCG Powerline,"ondra kasan, ondřej čejka","benjamin bachler, nelson dziruni",12,15,Bracket play round of 9th place game 2,ets-vienna-2023,Open Gold
Double O steal your hoe,RCG Powerline,"ondra kasan, ondřej čejka","benjamin bachler, nelson dziruni",19,21,Bracket play round of 9th place game 3,ets-vienna-2023,Open Gold
Double Bang,Double Touch,"michele berlanda, nicola bazzani","tom eynard, tom hullot",1,0,Bracket play round of P13: Semi-finals game 1,ets-vienna-2023,Open Gold
Double Bang,Double Touch,"michele berlanda, nicola bazzani","tom eynard, tom hullot",1,0,Bracket play round of P13: Semi-finals game 2,ets-vienna-2023,Open Gold
Double O steal your hoe,RDO Flix und Fertig,"ondra kasan, ondřej čejka","lucas christiani, max schartmann",0,1,Bracket play round of P13: Final game 1,ets-vienna-2023,Open Gold
Double O steal your hoe,RDO Flix und Fertig,"ondra kasan, ondřej čejka","lucas christiani, max schartmann",0,1,Bracket play round of P13: Final game 2,ets-vienna-2023,Open Gold
LTTL RNDNT,Pierre Feuille Victor,"lukas tapken, timo lorenzen","aymeric sandoz, pierre lecrosnier",1,0,Bracket play round of P17: Round of 16 game 1,ets-vienna-2023,Open Gold
LTTL RNDNT,Pierre Feuille Victor,"lukas tapken, timo lorenzen","aymeric sandoz, pierre lecrosnier",0,1,Bracket play round of P17: Round of 16 game 2,ets-vienna-2023,Open Gold
LTTL RNDNT,Pierre Feuille Victor,"lukas tapken, timo lorenzen","aymeric sandoz, pierre lecrosnier",1,0,Bracket play round of P17: Round of 16 game 3,ets-vienna-2023,Open Gold
Ingo Ingo Ingo Ingolstaaadt,Tac Tac,"martin amadeus köppen, paul schirop","oriol gonzalez, ryan danekas",17,21,Bracket play round of P17: Round of 16 game 1,ets-vienna-2023,Open Gold
Ingo Ingo Ingo Ingolstaaadt,Tac Tac,"martin amadeus köppen, paul schirop","oriol gonzalez, ryan danekas",0,1,Bracket play round of P17: Round of 16 game 2,ets-vienna-2023,Open Gold
RBZ Tocco Italiano,Never Cold🌡️,"giacomo merlin, matteo sacchini","jan stachiewicz, jaroslav čabala",1,0,Bracket play round of P17: Round of 16 game 1,ets-vienna-2023,Open Gold
RBZ Tocco Italiano,Never Cold🌡️,"giacomo merlin, matteo sacchini","jan stachiewicz, jaroslav čabala",1,0,Bracket play round of P17: Round of 16 game 2,ets-vienna-2023,Open Gold
RCB Spikeleeks,LTTL RNDNT,"carlo engel, luc moor","lukas tapken, timo lorenzen",15,13,Bracket play round of P17: Quarter-finals game 1,ets-vienna-2023,Open Gold
RCB Spikeleeks,LTTL RNDNT,"carlo engel, luc moor","lukas tapken, timo lorenzen",15,13,Bracket play round of P17: Quarter-finals game 2,ets-vienna-2023,Open Gold
Tac Tac,RBZ Tocco Italiano,"oriol gonzalez, ryan danekas","giacomo merlin, matteo sacchini",0,1,Bracket play round of P17: Quarter-finals game 1,ets-vienna-2023,Open Gold
Tac Tac,RBZ Tocco Italiano,"oriol gonzalez, ryan danekas","giacomo merlin, matteo sacchini",0,1,Bracket play round of P17: Quarter-finals game 2,ets-vienna-2023,Open Gold
RCB Spikeleeks,RBZ Tocco Italiano,"carlo engel, luc moor","giacomo merlin, matteo sacchini",19,21,Bracket play round of P17: Semi-finals game 1,ets-vienna-2023,Open Gold
RCB Spikeleeks,RBZ Tocco Italiano,"carlo engel, luc moor","giacomo merlin, matteo sacchini",1,0,Bracket play round of P17: Semi-finals game 2,ets-vienna-2023,Open Gold
RCB Spikeleeks,RBZ Tocco Italiano,"carlo engel, luc moor","giacomo merlin, matteo sacchini",0,1,Bracket play round of P17: Semi-finals game 3,ets-vienna-2023,Open Gold
Future Burnouts,UnderDAWGS,"markus anderle, raffael jonas","jakub víšek, sebi mezzey",15,7,Bracket play round of P17: Final game 1,ets-vienna-2023,Open Gold
Future Burnouts,UnderDAWGS,"markus anderle, raffael jonas","jakub víšek, sebi mezzey",13,15,Bracket play round of P17: Final game 2,ets-vienna-2023,Open Gold
Future Burnouts,UnderDAWGS,"markus anderle, raffael jonas","jakub víšek, sebi mezzey",11,15,Bracket play round of P17: Final game 3,ets-vienna-2023,Open Gold
Future Burnouts,nerds in disguise,"markus anderle, raffael jonas","david jindra, stefan handschmann",1,0,Bracket play round of 17th place game 1,ets-vienna-2023,Open Gold
Future Burnouts,nerds in disguise,"markus anderle, raffael jonas","david jindra, stefan handschmann",1,0,Bracket play round of 17th place game 2,ets-vienna-2023,Open Gold
Incrediballers,UnderDAWGS,"faisal sayyed, jorge donayre","jakub víšek, sebi mezzey",10,15,Bracket play round of 17th place game 1,ets-vienna-2023,Open Gold
Incrediballers,UnderDAWGS,"faisal sayyed, jorge donayre","jakub víšek, sebi mezzey",11,15,Bracket play round of 17th place game 2,ets-vienna-2023,Open Gold
nerds in disguise,"halo, halo, palma?","david jindra, stefan handschmann","aleksandrs juška, mikus jaunpetrovičs",12,15,Bracket play round of 19th place game 1,ets-vienna-2023,Open Gold
nerds in disguise,"halo, halo, palma?","david jindra, stefan handschmann","aleksandrs juška, mikus jaunpetrovičs",15,13,Bracket play round of 19th place game 2,ets-vienna-2023,Open Gold
nerds in disguise,"halo, halo, palma?","david jindra, stefan handschmann","aleksandrs juška, mikus jaunpetrovičs",15,11,Bracket play round of 19th place game 3,ets-vienna-2023,Open Gold
UnderDAWGS,Gauterin/Rösinger,"jakub víšek, sebi mezzey","marcus gauterin, marvin rösinger",21,19,Bracket play round of 19th place game 1,ets-vienna-2023,Open Gold
UnderDAWGS,Gauterin/Rösinger,"jakub víšek, sebi mezzey","marcus gauterin, marvin rösinger",1,0,Bracket play round of 19th place game 2,ets-vienna-2023,Open Gold
Tac Tac,LTTL RNDNT,"oriol gonzalez, ryan danekas","lukas tapken, timo lorenzen",0,1,Bracket play round of P21: Semi-finals game 1,ets-vienna-2023,Open Gold
Tac Tac,LTTL RNDNT,"oriol gonzalez, ryan danekas","lukas tapken, timo lorenzen",0,1,Bracket play round of P21: Semi-finals game 2,ets-vienna-2023,Open Gold
Incrediballers,nerds in disguise,"faisal sayyed, jorge donayre","david jindra, stefan handschmann",1,0,Bracket play round of P21: Final game 1,ets-vienna-2023,Open Gold
Incrediballers,nerds in disguise,"faisal sayyed, jorge donayre","david jindra, stefan handschmann",1,0,Bracket play round of P21: Final game 2,ets-vienna-2023,Open Gold
Never Cold🌡️,Ingo Ingo Ingo Ingolstaaadt,"jan stachiewicz, jaroslav čabala","martin amadeus köppen, paul schirop",0,1,Bracket play round of P25: Quarter-finals game 1,ets-vienna-2023,Open Gold
Never Cold🌡️,Ingo Ingo Ingo Ingolstaaadt,"jan stachiewicz, jaroslav čabala","martin amadeus köppen, paul schirop",0,1,Bracket play round of P25: Quarter-finals game 2,ets-vienna-2023,Open Gold
Pierre Feuille Victor,Ingo Ingo Ingo Ingolstaaadt,"aymeric sandoz, pierre lecrosnier","martin amadeus köppen, paul schirop",22,20,Bracket play round of P25: Semi-finals game 1,ets-vienna-2023,Open Gold
Pierre Feuille Victor,Ingo Ingo Ingo Ingolstaaadt,"aymeric sandoz, pierre lecrosnier","martin amadeus köppen, paul schirop",1,0,Bracket play round of P25: Semi-finals game 2,ets-vienna-2023,Open Gold
"halo, halo, palma?",Gauterin/Rösinger,"aleksandrs juška, mikus jaunpetrovičs","marcus gauterin, marvin rösinger",0,1,Bracket play round of P25: Final game 1,ets-vienna-2023,Open Gold
"halo, halo, palma?",Gauterin/Rösinger,"aleksandrs juška, mikus jaunpetrovičs","marcus gauterin, marvin rösinger",0,1,Bracket play round of P25: Final game 2,ets-vienna-2023,Open Gold
