Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Daniel/Preston,Ace of Spikes,"daniel wight, preston haight","braxton wheatley, zach jones",0,1,Bracket play round of P13: Final game 2,2023springspike,4.5 Elite w/NHZ
Space Junkies,Peachy keen team,"landon mcintyre, matt bishop","brigham graham, jacob graham",21,14,Bracket play round of Round of 16 game 1,2023springspike,4.0 Advanced w/NHZ
Space Junkies,Peachy keen team,"landon mcintyre, matt bishop","brigham graham, jacob graham",19,21,Bracket play round of Round of 16 game 2,2023springspike,4.0 Advanced w/NHZ
Space Junkies,Peachy keen team,"landon mcintyre, matt bishop","brigham graham, jacob graham",21,17,Bracket play round of Round of 16 game 3,2023springspike,4.0 Advanced w/NHZ
Clean Combo,Big and Small,"aaron holt, ezra belnap","jonathan thompson, xavier roberts",21,14,Bracket play round of Quarter-finals game 1,2023springspike,4.0 Advanced w/NHZ
Clean Combo,Big and Small,"aaron holt, ezra belnap","jonathan thompson, xavier roberts",21,17,Bracket play round of Quarter-finals game 2,2023springspike,4.0 Advanced w/NHZ
Space Junkies,Clean Combo,"landon mcintyre, matt bishop","aaron holt, ezra belnap",11,21,Bracket play round of Semi-finals game 1,2023springspike,4.0 Advanced w/NHZ
Space Junkies,Clean Combo,"landon mcintyre, matt bishop","aaron holt, ezra belnap",19,21,Bracket play round of Semi-finals game 2,2023springspike,4.0 Advanced w/NHZ
21 Bridges,Jaxon and Bryson,"danny dildine, samuel england","bryson ripley, riley halley",14,21,Bracket play round of Final game 1,2023springspike,4.0 Advanced w/NHZ
21 Bridges,Jaxon and Bryson,"danny dildine, samuel england","bryson ripley, riley halley",21,17,Bracket play round of Final game 2,2023springspike,4.0 Advanced w/NHZ
21 Bridges,Jaxon and Bryson,"danny dildine, samuel england","bryson ripley, riley halley",18,21,Bracket play round of Final game 3,2023springspike,4.0 Advanced w/NHZ
Traffic Jams,21 Bridges,"chris sorensen, jason gurney","danny dildine, samuel england",17,21,Bracket play round of 1st place game 1,2023springspike,4.0 Advanced w/NHZ
Traffic Jams,21 Bridges,"chris sorensen, jason gurney","danny dildine, samuel england",21,17,Bracket play round of 1st place game 2,2023springspike,4.0 Advanced w/NHZ
Traffic Jams,21 Bridges,"chris sorensen, jason gurney","danny dildine, samuel england",21,23,Bracket play round of 1st place game 3,2023springspike,4.0 Advanced w/NHZ
Jaxon and Bryson,R-City Runners,"bryson ripley, riley halley","corbin randall, kyle sharp",21,15,Bracket play round of 1st place game 1,2023springspike,4.0 Advanced w/NHZ
Jaxon and Bryson,R-City Runners,"bryson ripley, riley halley","corbin randall, kyle sharp",25,23,Bracket play round of 1st place game 2,2023springspike,4.0 Advanced w/NHZ
21 Bridges,Bex / Stephen,"danny dildine, samuel england","becca feller, stephen moss",21,8,Bracket play round of 3rd place game 1,2023springspike,4.0 Advanced w/NHZ
21 Bridges,Bex / Stephen,"danny dildine, samuel england","becca feller, stephen moss",23,21,Bracket play round of 3rd place game 2,2023springspike,4.0 Advanced w/NHZ
R-City Runners,Traffic Jams,"corbin randall, kyle sharp","chris sorensen, jason gurney",14,21,Bracket play round of P5: Final game 1,2023springspike,4.0 Advanced w/NHZ
R-City Runners,Traffic Jams,"corbin randall, kyle sharp","chris sorensen, jason gurney",12,21,Bracket play round of P5: Final game 2,2023springspike,4.0 Advanced w/NHZ
Boggleadites,Topper g’s,"braxton booth, jackson dean","jaggyr roundy, triston robb",21,14,Bracket play round of Round of 16 game 1,2023springspike,3.0 Intermediate
Boggleadites,Topper g’s,"braxton booth, jackson dean","jaggyr roundy, triston robb",18,21,Bracket play round of Round of 16 game 2,2023springspike,3.0 Intermediate
Boggleadites,Topper g’s,"braxton booth, jackson dean","jaggyr roundy, triston robb",21,10,Bracket play round of Round of 16 game 3,2023springspike,3.0 Intermediate
The Primes,Boggleadites,"camren harris, jon jacobs","braxton booth, jackson dean",21,12,Bracket play round of Quarter-finals game 1,2023springspike,3.0 Intermediate
The Primes,Boggleadites,"camren harris, jon jacobs","braxton booth, jackson dean",21,13,Bracket play round of Quarter-finals game 2,2023springspike,3.0 Intermediate
Channelview champs,#nodinks,"hunter steenbakkers, tyler caswell","matthew porter, nathan brueck",21,16,Bracket play round of Quarter-finals game 1,2023springspike,3.0 Intermediate
Channelview champs,#nodinks,"hunter steenbakkers, tyler caswell","matthew porter, nathan brueck",21,15,Bracket play round of Quarter-finals game 2,2023springspike,3.0 Intermediate
The Primes,Channelview champs,"camren harris, jon jacobs","hunter steenbakkers, tyler caswell",21,15,Bracket play round of Semi-finals game 1,2023springspike,3.0 Intermediate
The Primes,Channelview champs,"camren harris, jon jacobs","hunter steenbakkers, tyler caswell",16,21,Bracket play round of Semi-finals game 2,2023springspike,3.0 Intermediate
The Primes,Channelview champs,"camren harris, jon jacobs","hunter steenbakkers, tyler caswell",21,13,Bracket play round of Semi-finals game 3,2023springspike,3.0 Intermediate
Average but Savage bros,Giggle Gang,"benson shaw, jacob shaw","braydon oler, sidney pharr",21,19,Bracket play round of Final game 1,2023springspike,3.0 Intermediate
Average but Savage bros,Giggle Gang,"benson shaw, jacob shaw","braydon oler, sidney pharr",25,24,Bracket play round of Final game 2,2023springspike,3.0 Intermediate
Average but Savage bros,Spiked Punch,"benson shaw, jacob shaw","sawyer denti, bri nicholson",16,21,Bracket play round of 1st place game 1,2023springspike,3.0 Intermediate
Average but Savage bros,Spiked Punch,"benson shaw, jacob shaw","sawyer denti, bri nicholson",21,14,Bracket play round of 1st place game 2,2023springspike,3.0 Intermediate
Average but Savage bros,Spiked Punch,"benson shaw, jacob shaw","sawyer denti, bri nicholson",21,19,Bracket play round of 1st place game 3,2023springspike,3.0 Intermediate
Giggle Gang,Blue team,"braydon oler, sidney pharr","adam brueck, jacob brueck",21,12,Bracket play round of 1st place game 1,2023springspike,3.0 Intermediate
Giggle Gang,Blue team,"braydon oler, sidney pharr","adam brueck, jacob brueck",22,20,Bracket play round of 1st place game 2,2023springspike,3.0 Intermediate
Spiked Punch,Final Form?,"sawyer denti, bri nicholson","kiya hilton, wheeler henriksen",21,4,Bracket play round of 3rd place game 1,2023springspike,3.0 Intermediate
Spiked Punch,Final Form?,"sawyer denti, bri nicholson","kiya hilton, wheeler henriksen",21,6,Bracket play round of 3rd place game 2,2023springspike,3.0 Intermediate
#nodinks,Boggleadites,"matthew porter, nathan brueck","braxton booth, jackson dean",15,21,Bracket play round of P5: Semi-finals game 1,2023springspike,3.0 Intermediate
#nodinks,Boggleadites,"matthew porter, nathan brueck","braxton booth, jackson dean",21,10,Bracket play round of P5: Semi-finals game 2,2023springspike,3.0 Intermediate
#nodinks,Boggleadites,"matthew porter, nathan brueck","braxton booth, jackson dean",21,14,Bracket play round of P5: Semi-finals game 3,2023springspike,3.0 Intermediate
Blue team,Spiked Punch,"adam brueck, jacob brueck","sawyer denti, bri nicholson",13,21,Bracket play round of P5: Final game 1,2023springspike,3.0 Intermediate
Blue team,Spiked Punch,"adam brueck, jacob brueck","sawyer denti, bri nicholson",20,22,Bracket play round of P5: Final game 2,2023springspike,3.0 Intermediate
