Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Double Fault,L&L’s Hawaiian food,"luke cook, nathan avalos","lazarus shettell, levi arzac",21,18,Bracket play round of 9th place game 2,2023spike-night,4.5 Elite w/NHZ
Unfair Advantage,Traffic Jams,"cade cote, max wright","chris sorensen, jason gurney",21,13,Bracket play round of P13: Semi-finals game 1,2023spike-night,4.5 Elite w/NHZ
Unfair Advantage,Traffic Jams,"cade cote, max wright","chris sorensen, jason gurney",21,14,Bracket play round of P13: Semi-finals game 2,2023spike-night,4.5 Elite w/NHZ
L&L’s Hawaiian food,Father son,"lazarus shettell, levi arzac","devin tuttle, todd tuttle",-1,-1,Bracket play round of P13: Final game 1,2023spike-night,4.5 Elite w/NHZ
L&L’s Hawaiian food,Father son,"lazarus shettell, levi arzac","devin tuttle, todd tuttle",-1,-1,Bracket play round of P13: Final game 2,2023spike-night,4.5 Elite w/NHZ
L&L’s Hawaiian food,Father son,"lazarus shettell, levi arzac","devin tuttle, todd tuttle",-1,-1,Bracket play round of P13: Final game 3,2023spike-night,4.5 Elite w/NHZ
Unfair Advantage,Traffic Jams,"cade cote, max wright","chris sorensen, jason gurney",21,13,Bracket play round of P13: Semi-finals game 1,2023spike-night,4.5 Elite w/NHZ
Unfair Advantage,Traffic Jams,"cade cote, max wright","chris sorensen, jason gurney",21,14,Bracket play round of P13: Semi-finals game 2,2023spike-night,4.5 Elite w/NHZ
L&L’s Hawaiian food,Father son,"lazarus shettell, levi arzac","devin tuttle, todd tuttle",-1,-1,Bracket play round of P13: Final game 1,2023spike-night,4.5 Elite w/NHZ
L&L’s Hawaiian food,Father son,"lazarus shettell, levi arzac","devin tuttle, todd tuttle",-1,-1,Bracket play round of P13: Final game 2,2023spike-night,4.5 Elite w/NHZ
L&L’s Hawaiian food,Father son,"lazarus shettell, levi arzac","devin tuttle, todd tuttle",-1,-1,Bracket play round of P13: Final game 3,2023spike-night,4.5 Elite w/NHZ
giggle gang,Trademarked ™,"braydon oler, sidney pharr","becca feller, sam turner",21,17,Bracket play round of Round of 16 game 1,2023spike-night,4.0 Advanced w/NHZ
