Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Bubbles,Definitely High,"paq clifford, zack duffy","davis jung, jake babbitt",21,17,Pool Play,spikeforacause,Advanced
PK Thunder,Set Theory,"carlin vicera, lucas peng","jordan freitas, josh wozniak",19,21,Pool Play,spikeforacause,Advanced
Stay Hard!!!,Sather/Nataraj,"joey carmichael, sam clarke","elijah sather, kishor natarajan",21,12,Pool Play,spikeforacause,Advanced
Ball & Chain Gang,I’m just here,"dallin james, zachary brant","andrew yager, matthew yager",21,14,Pool Play,spikeforacause,Advanced
"Wow, but like Owen Wilson",Go easy on us,"keegan cox, ryan armstrong","hernestor ramirez diaz, victor tu",21,17,Pool Play,spikeforacause,Advanced
OG Blinggo Boys,Just here for a good time,"adam randall, alex osler","brandon wright, garrett peterson",22,20,Pool Play,spikeforacause,Advanced
Bag of Beans,The Great Spike,"hailee bennett, jason small","evan cox, liam keohane",21,15,Pool Play,spikeforacause,Advanced
Be Nice or Else,We Are,"jensen elsemore, max nice","chinmay pendse, ken grenestedt",21,9,Pool Play,spikeforacause,Advanced
@ss,Boom Boys,"bethany dinh, joseph kaylor","john o'neal, logan garwood",18,21,Pool Play,spikeforacause,Advanced
Faded,Tricky Blicky,"arthur troncoso, trevor buchan","luis brito, tory white",21,15,Pool Play,spikeforacause,Advanced
Roundnet AI,Whiffed It,"alec sisaiyaket, austin ulfers","amanda wang, erick osthiemer",21,19,Pool Play,spikeforacause,Advanced
Da Big Boys,Bubbles,"blake bosak, malachi espinola","paq clifford, zack duffy",21,18,Pool Play,spikeforacause,Advanced
Wesburn,Set Theory,"eddy leung, ivan zeng","jordan freitas, josh wozniak",21,13,Pool Play,spikeforacause,Advanced
Definitely High,PK Thunder,"davis jung, jake babbitt","carlin vicera, lucas peng",21,18,Pool Play,spikeforacause,Advanced
Ball & Chain Gang,PSR Emerald Wave,"dallin james, zachary brant","bryce jacobsen, sougat pradhan",21,18,Pool Play,spikeforacause,Advanced
"Wow, but like Owen Wilson",Sather/Nataraj,"keegan cox, ryan armstrong","elijah sather, kishor natarajan",19,21,Pool Play,spikeforacause,Advanced
Go easy on us,I’m just here,"hernestor ramirez diaz, victor tu","andrew yager, matthew yager",21,14,Pool Play,spikeforacause,Advanced
OG Blinggo Boys,Bag of Beans,"adam randall, alex osler","hailee bennett, jason small",21,17,Pool Play,spikeforacause,Advanced
Just here for a good time,We Are,"brandon wright, garrett peterson","chinmay pendse, ken grenestedt",21,13,Pool Play,spikeforacause,Advanced
The Great Spike,Be Nice or Else,"evan cox, liam keohane","jensen elsemore, max nice",22,20,Pool Play,spikeforacause,Advanced
@ss,Faded,"bethany dinh, joseph kaylor","arthur troncoso, trevor buchan",21,15,Pool Play,spikeforacause,Advanced
Boom Boys,Whiffed It,"john o'neal, logan garwood","amanda wang, erick osthiemer",21,13,Pool Play,spikeforacause,Advanced
Tricky Blicky,Roundnet AI,"luis brito, tory white","alec sisaiyaket, austin ulfers",21,17,Pool Play,spikeforacause,Advanced
Stay Hard!!!,"Wow, but like Owen Wilson","joey carmichael, sam clarke","keegan cox, ryan armstrong",21,11,Pool Play,spikeforacause,Advanced
Sather/Nataraj,I’m just here,"elijah sather, kishor natarajan","andrew yager, matthew yager",21,17,Pool Play,spikeforacause,Advanced
PSR Emerald Wave,Go easy on us,"bryce jacobsen, sougat pradhan","hernestor ramirez diaz, victor tu",21,18,Pool Play,spikeforacause,Advanced
Stay Hard!!!,Ball & Chain Gang,"joey carmichael, sam clarke","dallin james, zachary brant",19,21,Pool Play,spikeforacause,Advanced
"Wow, but like Owen Wilson",I’m just here,"keegan cox, ryan armstrong","andrew yager, matthew yager",13,21,Pool Play,spikeforacause,Advanced
Sather/Nataraj,PSR Emerald Wave,"elijah sather, kishor natarajan","bryce jacobsen, sougat pradhan",21,16,Pool Play,spikeforacause,Advanced
Cal Poly Squad,Spikeaholics,"jacob marshall, sai pamidi","brian kirkland, matthew kirkland",21,17,Pool Play,spikeforacause,Intermediate
The I5 Drive,Sets on the Beach,"drew sutorius, jacob keith","brendan hull, dustin bishop",13,21,Pool Play,spikeforacause,Intermediate
KB24,Power Set,"ishraq joarder, shukria ahmadi","david cheung, pavan narahari",19,21,Pool Play,spikeforacause,Intermediate
Godzilla,Team name,"chau nguyen, gurvansh singh","angelo ibarrola, stephanie fok",19,21,Pool Play,spikeforacause,Intermediate
GGs,Ja Ja Ding Dong,"garret james, grant james","andy delarme, michelle simpson",19,21,Pool Play,spikeforacause,Intermediate
The Mac Daddy's,Pump it up,"mac robertson, tyler sudol","griffin righi, leah van loen",21,9,Pool Play,spikeforacause,Intermediate
Cal Poly Squad,Sets on the Beach,"jacob marshall, sai pamidi","brendan hull, dustin bishop",17,21,Pool Play,spikeforacause,Intermediate
The I5 Drive,Org of Uncommonly Crazy Hedgehogs (OUCH),"drew sutorius, jacob keith","david saltzman, natalie stottler",21,14,Pool Play,spikeforacause,Intermediate
Power Set,Spikeaholics,"david cheung, pavan narahari","brian kirkland, matthew kirkland",21,14,Pool Play,spikeforacause,Intermediate
Godzilla,Ja Ja Ding Dong,"chau nguyen, gurvansh singh","andy delarme, michelle simpson",21,11,Pool Play,spikeforacause,Intermediate
GGs,The Mac Daddy's,"garret james, grant james","mac robertson, tyler sudol",9,21,Pool Play,spikeforacause,Intermediate
Pump it up,Team name,"griffin righi, leah van loen","angelo ibarrola, stephanie fok",16,21,Pool Play,spikeforacause,Intermediate
Cal Poly Squad,Power Set,"jacob marshall, sai pamidi","david cheung, pavan narahari",11,21,Pool Play,spikeforacause,Intermediate
The I5 Drive,KB24,"drew sutorius, jacob keith","ishraq joarder, shukria ahmadi",15,21,Pool Play,spikeforacause,Intermediate
Org of Uncommonly Crazy Hedgehogs (OUCH),Sets on the Beach,"david saltzman, natalie stottler","brendan hull, dustin bishop",17,21,Pool Play,spikeforacause,Intermediate
Godzilla,Pump it up,"chau nguyen, gurvansh singh","griffin righi, leah van loen",21,13,Pool Play,spikeforacause,Intermediate
GGs,Team name,"garret james, grant james","angelo ibarrola, stephanie fok",9,21,Pool Play,spikeforacause,Intermediate
The Mac Daddy's,Ja Ja Ding Dong,"mac robertson, tyler sudol","andy delarme, michelle simpson",21,12,Pool Play,spikeforacause,Intermediate
Cal Poly Squad,Org of Uncommonly Crazy Hedgehogs (OUCH),"jacob marshall, sai pamidi","david saltzman, natalie stottler",21,14,Pool Play,spikeforacause,Intermediate
The I5 Drive,Spikeaholics,"drew sutorius, jacob keith","brian kirkland, matthew kirkland",19,21,Pool Play,spikeforacause,Intermediate
KB24,Sets on the Beach,"ishraq joarder, shukria ahmadi","brendan hull, dustin bishop",13,21,Pool Play,spikeforacause,Intermediate
Godzilla,The Mac Daddy's,"chau nguyen, gurvansh singh","mac robertson, tyler sudol",18,21,Pool Play,spikeforacause,Intermediate
GGs,Pump it up,"garret james, grant james","griffin righi, leah van loen",15,21,Pool Play,spikeforacause,Intermediate
Ja Ja Ding Dong,Team name,"andy delarme, michelle simpson","angelo ibarrola, stephanie fok",10,21,Pool Play,spikeforacause,Intermediate
The I5 Drive,Power Set,"drew sutorius, jacob keith","david cheung, pavan narahari",15,21,Pool Play,spikeforacause,Intermediate
KB24,Org of Uncommonly Crazy Hedgehogs (OUCH),"ishraq joarder, shukria ahmadi","david saltzman, natalie stottler",21,11,Pool Play,spikeforacause,Intermediate
Sets on the Beach,Spikeaholics,"brendan hull, dustin bishop","brian kirkland, matthew kirkland",21,14,Pool Play,spikeforacause,Intermediate
Godzilla,GGs,"chau nguyen, gurvansh singh","garret james, grant james",21,10,Pool Play,spikeforacause,Intermediate
The Mac Daddy's,Team name,"mac robertson, tyler sudol","angelo ibarrola, stephanie fok",21,19,Pool Play,spikeforacause,Intermediate
Pump it up,Ja Ja Ding Dong,"griffin righi, leah van loen","andy delarme, michelle simpson",16,21,Pool Play,spikeforacause,Intermediate
Cal Poly Squad,KB24,"jacob marshall, sai pamidi","ishraq joarder, shukria ahmadi",18,21,Pool Play,spikeforacause,Intermediate
Org of Uncommonly Crazy Hedgehogs (OUCH),Spikeaholics,"david saltzman, natalie stottler","brian kirkland, matthew kirkland",17,21,Pool Play,spikeforacause,Intermediate
Power Set,Sets on the Beach,"david cheung, pavan narahari","brendan hull, dustin bishop",21,19,Pool Play,spikeforacause,Intermediate
Cal Poly Squad,The I5 Drive,"jacob marshall, sai pamidi","drew sutorius, jacob keith",21,13,Pool Play,spikeforacause,Intermediate
KB24,Spikeaholics,"ishraq joarder, shukria ahmadi","brian kirkland, matthew kirkland",21,17,Pool Play,spikeforacause,Intermediate
Org of Uncommonly Crazy Hedgehogs (OUCH),Power Set,"david saltzman, natalie stottler","david cheung, pavan narahari",5,21,Pool Play,spikeforacause,Intermediate
The Great Spike,Tricky Blicky,"evan cox, liam keohane","luis brito, tory white",21,16,Bracket play round of Round of 32 game 1,spikeforacause,Advanced
Ball & Chain Gang,Roundnet AI,"dallin james, zachary brant","alec sisaiyaket, austin ulfers",21,19,Bracket play round of Round of 32 game 1,spikeforacause,Advanced
Boom Boys,We Are,"john o'neal, logan garwood","chinmay pendse, ken grenestedt",21,10,Bracket play round of Round of 32 game 1,spikeforacause,Advanced
Sather/Nataraj,"Wow, but like Owen Wilson","elijah sather, kishor natarajan","keegan cox, ryan armstrong",21,23,Bracket play round of Round of 32 game 1,spikeforacause,Advanced
Bag of Beans,PSR Emerald Wave,"hailee bennett, jason small","bryce jacobsen, sougat pradhan",16,21,Bracket play round of Round of 32 game 1,spikeforacause,Advanced
Da Big Boys,The Great Spike,"blake bosak, malachi espinola","evan cox, liam keohane",21,8,Bracket play round of Round of 16 game 1,spikeforacause,Advanced
Da Big Boys,The Great Spike,"blake bosak, malachi espinola","evan cox, liam keohane",21,10,Bracket play round of Round of 16 game 2,spikeforacause,Advanced
Ball & Chain Gang,Boom Boys,"dallin james, zachary brant","john o'neal, logan garwood",13,21,Bracket play round of Round of 16 game 1,spikeforacause,Advanced
Ball & Chain Gang,Boom Boys,"dallin james, zachary brant","john o'neal, logan garwood",13,21,Bracket play round of Round of 16 game 2,spikeforacause,Advanced
Set Theory,"Wow, but like Owen Wilson","jordan freitas, josh wozniak","keegan cox, ryan armstrong",21,14,Bracket play round of Round of 16 game 1,spikeforacause,Advanced
Set Theory,"Wow, but like Owen Wilson","jordan freitas, josh wozniak","keegan cox, ryan armstrong",21,12,Bracket play round of Round of 16 game 2,spikeforacause,Advanced
PSR Emerald Wave,Definitely High,"bryce jacobsen, sougat pradhan","davis jung, jake babbitt",17,21,Bracket play round of Round of 16 game 1,spikeforacause,Advanced
PSR Emerald Wave,Definitely High,"bryce jacobsen, sougat pradhan","davis jung, jake babbitt",16,21,Bracket play round of Round of 16 game 2,spikeforacause,Advanced
Da Big Boys,Boom Boys,"blake bosak, malachi espinola","john o'neal, logan garwood",21,15,Bracket play round of Quarter-finals game 1,spikeforacause,Advanced
Da Big Boys,Boom Boys,"blake bosak, malachi espinola","john o'neal, logan garwood",21,15,Bracket play round of Quarter-finals game 2,spikeforacause,Advanced
Set Theory,Definitely High,"jordan freitas, josh wozniak","davis jung, jake babbitt",19,21,Bracket play round of Quarter-finals game 1,spikeforacause,Advanced
Set Theory,Definitely High,"jordan freitas, josh wozniak","davis jung, jake babbitt",17,21,Bracket play round of Quarter-finals game 2,spikeforacause,Advanced
Da Big Boys,Definitely High,"blake bosak, malachi espinola","davis jung, jake babbitt",21,16,Bracket play round of Semi-finals game 1,spikeforacause,Advanced
Da Big Boys,Definitely High,"blake bosak, malachi espinola","davis jung, jake babbitt",21,18,Bracket play round of Semi-finals game 2,spikeforacause,Advanced
Wesburn,Bubbles,"eddy leung, ivan zeng","paq clifford, zack duffy",22,24,Bracket play round of Final game 1,spikeforacause,Advanced
Wesburn,Bubbles,"eddy leung, ivan zeng","paq clifford, zack duffy",18,21,Bracket play round of Final game 2,spikeforacause,Advanced
Wesburn,OG Blinggo Boys,"eddy leung, ivan zeng","adam randall, alex osler",21,18,Bracket play round of 1st place game 1,spikeforacause,Advanced
Wesburn,OG Blinggo Boys,"eddy leung, ivan zeng","adam randall, alex osler",21,14,Bracket play round of 1st place game 2,spikeforacause,Advanced
Bubbles,PK Thunder,"paq clifford, zack duffy","carlin vicera, lucas peng",19,21,Bracket play round of 1st place game 1,spikeforacause,Advanced
Bubbles,PK Thunder,"paq clifford, zack duffy","carlin vicera, lucas peng",21,16,Bracket play round of 1st place game 2,spikeforacause,Advanced
Bubbles,PK Thunder,"paq clifford, zack duffy","carlin vicera, lucas peng",21,19,Bracket play round of 1st place game 3,spikeforacause,Advanced
Wesburn,Faded,"eddy leung, ivan zeng","arthur troncoso, trevor buchan",21,17,Bracket play round of 3rd place game 1,spikeforacause,Advanced
Wesburn,Faded,"eddy leung, ivan zeng","arthur troncoso, trevor buchan",21,14,Bracket play round of 3rd place game 2,spikeforacause,Advanced
@ss,OG Blinggo Boys,"bethany dinh, joseph kaylor","adam randall, alex osler",20,22,Bracket play round of 3rd place game 1,spikeforacause,Advanced
@ss,OG Blinggo Boys,"bethany dinh, joseph kaylor","adam randall, alex osler",21,18,Bracket play round of 3rd place game 2,spikeforacause,Advanced
@ss,OG Blinggo Boys,"bethany dinh, joseph kaylor","adam randall, alex osler",16,21,Bracket play round of 3rd place game 3,spikeforacause,Advanced
Bubbles,I’m just here,"paq clifford, zack duffy","andrew yager, matthew yager",21,9,Bracket play round of 3rd place game 1,spikeforacause,Advanced
Bubbles,I’m just here,"paq clifford, zack duffy","andrew yager, matthew yager",21,17,Bracket play round of 3rd place game 2,spikeforacause,Advanced
Stay Hard!!!,PK Thunder,"joey carmichael, sam clarke","carlin vicera, lucas peng",16,21,Bracket play round of 3rd place game 1,spikeforacause,Advanced
Stay Hard!!!,PK Thunder,"joey carmichael, sam clarke","carlin vicera, lucas peng",18,21,Bracket play round of 3rd place game 2,spikeforacause,Advanced
Faded,Go easy on us,"arthur troncoso, trevor buchan","hernestor ramirez diaz, victor tu",29,27,Bracket play round of Semi-finals game 1,spikeforacause,Advanced
@ss,Whiffed It,"bethany dinh, joseph kaylor","amanda wang, erick osthiemer",21,14,Bracket play round of Semi-finals game 1,spikeforacause,Advanced
Just here for a good time,I’m just here,"brandon wright, garrett peterson","andrew yager, matthew yager",18,21,Bracket play round of Semi-finals game 1,spikeforacause,Advanced
