Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Smash or Pass,Gotta catch them balls,"ella fairbairn, ruby tang","austin ha, bryan chen",19,21,Bracket play round of Round of 16 game 1,rotcyork,Advanced
Smash or Pass,Gotta catch them balls,"ella fairbairn, ruby tang","austin ha, bryan chen",24,22,Bracket play round of Round of 16 game 2,rotcyork,Advanced
Smash or Pass,Gotta catch them balls,"ella fairbairn, ruby tang","austin ha, bryan chen",19,21,Bracket play round of Round of 16 game 3,rotcyork,Advanced
1-800-GOT-JUNK,Gotta catch them balls,"anthony cho, wallace chan","austin ha, bryan chen",1,0,Bracket play round of Quarter-finals game 1,rotcyork,Advanced
1-800-GOT-JUNK,Gotta catch them balls,"anthony cho, wallace chan","austin ha, bryan chen",1,0,Bracket play round of Quarter-finals game 2,rotcyork,Advanced
FCR WWJD,Scoot Troop,"lois radu, nethaniel gabriel","andrew macneil-johnson, rui miyake",21,15,Bracket play round of Quarter-finals game 1,rotcyork,Advanced
FCR WWJD,Scoot Troop,"lois radu, nethaniel gabriel","andrew macneil-johnson, rui miyake",21,17,Bracket play round of Quarter-finals game 2,rotcyork,Advanced
1-800-GOT-JUNK,FCR WWJD,"anthony cho, wallace chan","lois radu, nethaniel gabriel",1,0,Bracket play round of Semi-finals game 1,rotcyork,Advanced
1-800-GOT-JUNK,FCR WWJD,"anthony cho, wallace chan","lois radu, nethaniel gabriel",1,0,Bracket play round of Semi-finals game 2,rotcyork,Advanced
Underdawgs,Buzzcut szn,"luis serrano, nathan toews","matthew takemura, tim yip",22,20,Bracket play round of Final game 1,rotcyork,Advanced
Underdawgs,Buzzcut szn,"luis serrano, nathan toews","matthew takemura, tim yip",21,16,Bracket play round of Final game 2,rotcyork,Advanced
Cheungle,Underdawgs,"chingle au, tim cheung","luis serrano, nathan toews",1,0,Bracket play round of 1st place game 1,rotcyork,Advanced
Cheungle,Underdawgs,"chingle au, tim cheung","luis serrano, nathan toews",0,1,Bracket play round of 1st place game 2,rotcyork,Advanced
Cheungle,Underdawgs,"chingle au, tim cheung","luis serrano, nathan toews",0,1,Bracket play round of 1st place game 3,rotcyork,Advanced
Fresh Prince,Buzzcut szn,"david reyes, wayne santa ana","matthew takemura, tim yip",1,0,Bracket play round of 1st place game 1,rotcyork,Advanced
Fresh Prince,Buzzcut szn,"david reyes, wayne santa ana","matthew takemura, tim yip",0,1,Bracket play round of 1st place game 2,rotcyork,Advanced
Fresh Prince,Buzzcut szn,"david reyes, wayne santa ana","matthew takemura, tim yip",0,1,Bracket play round of 1st place game 3,rotcyork,Advanced
Scoot Troop,Gotta catch them balls,"andrew macneil-johnson, rui miyake","austin ha, bryan chen",1,0,Bracket play round of P5: Semi-finals game 1,rotcyork,Advanced
