Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Los locos del Boston,CRA | THE DOG OF THE SOUTH,"benjamín zamorano, david krieger","eric guberman, kevin altschuler",21,7,Bracket play round of Round of 32 game 1,ers23bos,Open 3.5-4.0
Los locos del Boston,CRA | THE DOG OF THE SOUTH,"benjamín zamorano, david krieger","eric guberman, kevin altschuler",21,9,Bracket play round of Round of 32 game 2,ers23bos,Open 3.5-4.0
The ones who knock,Los locos del Boston,"luke christenson, reagan ozcan","benjamín zamorano, david krieger",21,13,Bracket play round of Round of 16 game 1,ers23bos,Open 3.5-4.0
The ones who knock,Los locos del Boston,"luke christenson, reagan ozcan","benjamín zamorano, david krieger",0,1,Bracket play round of Round of 16 game 2,ers23bos,Open 3.5-4.0
The ones who knock,Los locos del Boston,"luke christenson, reagan ozcan","benjamín zamorano, david krieger",0,1,Bracket play round of Round of 16 game 3,ers23bos,Open 3.5-4.0
Plotkin/Levine,Rim Breakers,"david plotkin, mike levine","aliana nunezberinger, john aslanian",14,21,Bracket play round of Round of 16 game 1,ers23bos,Open 3.5-4.0
Plotkin/Levine,Rim Breakers,"david plotkin, mike levine","aliana nunezberinger, john aslanian",16,21,Bracket play round of Round of 16 game 2,ers23bos,Open 3.5-4.0
Men's Rimnastics Team,asians,"caedon gibson, tyler king","alex kim, aravind bhamidipati",21,11,Bracket play round of Round of 16 game 1,ers23bos,Open 3.5-4.0
Men's Rimnastics Team,asians,"caedon gibson, tyler king","alex kim, aravind bhamidipati",21,13,Bracket play round of Round of 16 game 2,ers23bos,Open 3.5-4.0
CRA Hogs Hogs Hogs,CRA Skill Clinton,"james lister, marek trávník","alex gomez, michael rascati",21,19,Bracket play round of Round of 16 game 1,ers23bos,Open 3.5-4.0
CRA Hogs Hogs Hogs,CRA Skill Clinton,"james lister, marek trávník","alex gomez, michael rascati",14,21,Bracket play round of Round of 16 game 2,ers23bos,Open 3.5-4.0
CRA Hogs Hogs Hogs,CRA Skill Clinton,"james lister, marek trávník","alex gomez, michael rascati",17,21,Bracket play round of Round of 16 game 3,ers23bos,Open 3.5-4.0
Los locos del Boston,Rim Breakers,"benjamín zamorano, david krieger","aliana nunezberinger, john aslanian",16,21,Bracket play round of Quarter-finals game 1,ers23bos,Open 3.5-4.0
Los locos del Boston,Rim Breakers,"benjamín zamorano, david krieger","aliana nunezberinger, john aslanian",21,18,Bracket play round of Quarter-finals game 2,ers23bos,Open 3.5-4.0
Los locos del Boston,Rim Breakers,"benjamín zamorano, david krieger","aliana nunezberinger, john aslanian",20,22,Bracket play round of Quarter-finals game 3,ers23bos,Open 3.5-4.0
Men's Rimnastics Team,CRA Skill Clinton,"caedon gibson, tyler king","alex gomez, michael rascati",21,11,Bracket play round of Quarter-finals game 1,ers23bos,Open 3.5-4.0
Men's Rimnastics Team,CRA Skill Clinton,"caedon gibson, tyler king","alex gomez, michael rascati",21,13,Bracket play round of Quarter-finals game 2,ers23bos,Open 3.5-4.0
Rim Breakers,Men's Rimnastics Team,"aliana nunezberinger, john aslanian","caedon gibson, tyler king",21,19,Bracket play round of Semi-finals game 1,ers23bos,Open 3.5-4.0
Rim Breakers,Men's Rimnastics Team,"aliana nunezberinger, john aslanian","caedon gibson, tyler king",16,21,Bracket play round of Semi-finals game 2,ers23bos,Open 3.5-4.0
Rim Breakers,Men's Rimnastics Team,"aliana nunezberinger, john aslanian","caedon gibson, tyler king",21,17,Bracket play round of Semi-finals game 3,ers23bos,Open 3.5-4.0
Ace Nation,Chicopee bombers,"jake gehrung, kevin grant","mikey thompson, nick soillis",21,17,Bracket play round of 3rd place game 1,ers23bos,Open 3.5-4.0
Ace Nation,Chicopee bombers,"jake gehrung, kevin grant","mikey thompson, nick soillis",12,21,Bracket play round of 3rd place game 2,ers23bos,Open 3.5-4.0
Ace Nation,Chicopee bombers,"jake gehrung, kevin grant","mikey thompson, nick soillis",11,21,Bracket play round of 3rd place game 3,ers23bos,Open 3.5-4.0
CRA Willie Dustice,Johnson McGees,"max rais, travis flynn","austin andrews, jack tierney",22,20,Bracket play round of 3rd place game 1,ers23bos,Open 3.5-4.0
CRA Willie Dustice,Johnson McGees,"max rais, travis flynn","austin andrews, jack tierney",19,21,Bracket play round of 3rd place game 2,ers23bos,Open 3.5-4.0
CRA Willie Dustice,Johnson McGees,"max rais, travis flynn","austin andrews, jack tierney",20,22,Bracket play round of 3rd place game 3,ers23bos,Open 3.5-4.0
CRA Skill Clinton,Los locos del Boston,"alex gomez, michael rascati","benjamín zamorano, david krieger",-1,-1,Bracket play round of P5: Semi-finals game 1,ers23bos,Open 3.5-4.0
CRA Skill Clinton,Los locos del Boston,"alex gomez, michael rascati","benjamín zamorano, david krieger",-1,-1,Bracket play round of P5: Semi-finals game 2,ers23bos,Open 3.5-4.0
CRA Skill Clinton,Los locos del Boston,"alex gomez, michael rascati","benjamín zamorano, david krieger",-1,-1,Bracket play round of P5: Semi-finals game 3,ers23bos,Open 3.5-4.0
Johnson McGees,Chicopee bombers,"austin andrews, jack tierney","mikey thompson, nick soillis",-1,-1,Bracket play round of P5: Final game 1,ers23bos,Open 3.5-4.0
Johnson McGees,Chicopee bombers,"austin andrews, jack tierney","mikey thompson, nick soillis",-1,-1,Bracket play round of P5: Final game 2,ers23bos,Open 3.5-4.0
Johnson McGees,Chicopee bombers,"austin andrews, jack tierney","mikey thompson, nick soillis",-1,-1,Bracket play round of P5: Final game 3,ers23bos,Open 3.5-4.0
Plotkin/Levine,The ones who knock,"david plotkin, mike levine","luke christenson, reagan ozcan",-1,-1,Bracket play round of P9: Quarter-finals game 1,ers23bos,Open 3.5-4.0
Plotkin/Levine,The ones who knock,"david plotkin, mike levine","luke christenson, reagan ozcan",-1,-1,Bracket play round of P9: Quarter-finals game 2,ers23bos,Open 3.5-4.0
Plotkin/Levine,The ones who knock,"david plotkin, mike levine","luke christenson, reagan ozcan",-1,-1,Bracket play round of P9: Quarter-finals game 3,ers23bos,Open 3.5-4.0
CRA Hogs Hogs Hogs,asians,"james lister, marek trávník","alex kim, aravind bhamidipati",-1,-1,Bracket play round of P9: Quarter-finals game 1,ers23bos,Open 3.5-4.0
CRA Hogs Hogs Hogs,asians,"james lister, marek trávník","alex kim, aravind bhamidipati",-1,-1,Bracket play round of P9: Quarter-finals game 2,ers23bos,Open 3.5-4.0
CRA Hogs Hogs Hogs,asians,"james lister, marek trávník","alex kim, aravind bhamidipati",-1,-1,Bracket play round of P9: Quarter-finals game 3,ers23bos,Open 3.5-4.0
Ace Nation,Flu Season,"jake gehrung, kevin grant","lucas pruett, megan wong",-1,-1,Bracket play round of 9th place game 1,ers23bos,Open 3.5-4.0
Ace Nation,Flu Season,"jake gehrung, kevin grant","lucas pruett, megan wong",-1,-1,Bracket play round of 9th place game 2,ers23bos,Open 3.5-4.0
Ace Nation,Flu Season,"jake gehrung, kevin grant","lucas pruett, megan wong",-1,-1,Bracket play round of 9th place game 3,ers23bos,Open 3.5-4.0
